iteration,node_id,loss,accuracy,full_loss,full_accuracy
0,4,1.3949393092132196,0.6458814472671286,"[2.2060797621564165, 2.005794775195238, 1.3949393092132196]","[0.4665127020785219, 0.6458814472671286, 0.6458814472671286]"
0,21,2.0336463229600774,0.437592867756315,"[2.2463335713674857, 2.15759315601615, 2.0336463229600774]","[0.37518573551263, 0.437592867756315, 0.437592867756315]"
0,9,2.0553686164674305,0.4316654219566841,"[2.2877700555892218, 2.1876737617311024, 2.0553686164674305]","[0.2524271844660194, 0.4316654219566841, 0.4316654219566841]"
0,0,1.3350566480217911,0.6640986132511556,"[2.200161718740696, 1.986186164181407, 1.3350566480217911]","[0.4861325115562404, 0.6640986132511556, 0.6640986132511556]"
0,24,2.1132125513894215,0.38352059925093634,"[2.2633124930518016, 2.190715341340928, 2.1132125513894215]","[0.31235955056179776, 0.38352059925093634, 0.38352059925093634]"
0,8,2.019579294182005,0.4413533834586466,"[2.2875605821609497, 2.180803753080822, 2.019579294182005]","[0.2578947368421053, 0.4413533834586466, 0.4413533834586466]"
0,26,2.0743683188460595,0.4124629080118694,"[2.254026862077935, 2.1709139291630235, 2.0743683188460595]","[0.3464391691394659, 0.4124629080118694, 0.4124629080118694]"
0,25,2.0563160458276437,0.41858736059479557,"[2.248190153476804, 2.167833832807319, 2.0563160458276437]","[0.3591078066914498, 0.41858736059479557, 0.41858736059479557]"
0,27,2.062155604362488,0.4198813056379822,"[2.249482786932657, 2.162820206132046, 2.062155604362488]","[0.35682492581602376, 0.4198813056379822, 0.4198813056379822]"
0,16,2.069884104388101,0.4152352501867065,"[2.289194941520691, 2.192039506775992, 2.069884104388101]","[0.23002240477968633, 0.4152352501867065, 0.4152352501867065]"
0,7,2.013003417423793,0.4360508601346298,"[2.2852694250288463, 2.177755452337719, 2.013003417423793]","[0.25654450261780104, 0.4360508601346298, 0.4360508601346298]"
0,10,2.0223325207119895,0.4365138993238167,"[2.2865846440905617, 2.180951646396092, 2.0223325207119895]","[0.2501878287002254, 0.4365138993238167, 0.4365138993238167]"
0,15,2.062741852941967,0.4145974416854778,"[2.2890351045699346, 2.1899844805399575, 2.062741852941967]","[0.23325808878856283, 0.4145974416854778, 0.4145974416854778]"
0,17,2.0780539995148066,0.40566741237882176,"[2.29106935432979, 2.1951368365968977, 2.0780539995148066]","[0.2222222222222222, 0.40566741237882176, 0.40566741237882176]"
0,23,2.0757448701631454,0.42046303211351754,"[2.2541562716166177, 2.171608249346415, 2.0757448701631454]","[0.3637042569081404, 0.42046303211351754, 0.42046303211351754]"
0,20,2.066345589501517,0.40933032355154253,"[2.2869561853862943, 2.189698582603818, 2.066345589501517]","[0.2272385252069225, 0.40933032355154253, 0.40933032355154253]"
0,11,1.994341750939687,0.44104477611940296,"[2.28352837903159, 2.1737580810274397, 1.994341750939687]","[0.2574626865671642, 0.44104477611940296, 0.44104477611940296]"
0,28,2.056987322512127,0.43633655994043186,"[2.2493530682155063, 2.1625046786807833, 2.056987322512127]","[0.37006701414743115, 0.43633655994043186, 0.43633655994043186]"
0,3,1.3061871455936898,0.6827747466874513,"[2.1995850307185476, 1.9757596516027682, 1.3061871455936898]","[0.49961028838659394, 0.6827747466874513, 0.6827747466874513]"
0,12,2.052532059805734,0.42046303211351754,"[2.287049997420538, 2.1845666397185552, 2.052532059805734]","[0.24271844660194175, 0.42046303211351754, 0.42046303211351754]"
0,5,1.3924217689328078,0.6539050535987749,"[2.203007163071051, 1.9997503263194387, 1.3924217689328078]","[0.47549770290964777, 0.6539050535987749, 0.6539050535987749]"
0,18,2.0468863873254683,0.4260089686098655,"[2.2880835987272716, 2.183734581584022, 2.0468863873254683]","[0.2428998505231689, 0.4260089686098655, 0.4260089686098655]"
0,19,2.0419619452385676,0.4307116104868914,"[2.2880371468407765, 2.1848227183024087, 2.0419619452385676]","[0.2441947565543071, 0.4307116104868914, 0.4307116104868914]"
0,1,1.3309825019138615,0.6682134570765661,"[2.1988466774545063, 1.984038943197669, 1.3309825019138615]","[0.48646558391337974, 0.6682134570765661, 0.6682134570765661]"
0,22,2.0523950854937234,0.4325337331334333,"[2.248488289969308, 2.1610177868888494, 2.0523950854937234]","[0.3650674662668666, 0.4325337331334333, 0.4325337331334333]"
