coalition,value,iteration
"(1, 3, 8, 9, 2, 0, 7, 5, 4, 6)",0.953,8
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.9539,8
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.9517,8
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.9517,8
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.9523,8
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.9549,8
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.9541,8
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.952,8
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.9519,8
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.9511,8
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.9517,8
"(5, 3, 2, 4, 6, 8, 7, 0, 9, 1)",0.957,9
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.9563,9
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.9564,9
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.9593,9
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.9561,9
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.9556,9
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.9562,9
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.9572,9
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.9584,9
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.956,9
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.9582,9
"(0, 9, 7, 6, 2, 8, 3, 4, 5, 1)",0.9595,10
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.9609,10
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.9584,10
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.9596,10
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.9589,10
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.961,10
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.9593,10
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.9594,10
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.9596,10
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.9597,10
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.9612,10
"(9, 1, 4, 0, 5, 2, 8, 7, 3, 6)",0.9615,11
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.9605,11
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.9629,11
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.9609,11
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.9623,11
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.9615,11
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.9621,11
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.9615,11
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.9611,11
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.9605,11
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.9605,11
"(8, 7, 6, 1, 0, 5, 4, 2, 9, 3)",0.9638,12
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.9633,12
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.9635,12
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.9627,12
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.9648,12
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.9639,12
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.9632,12
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.9636,12
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.9647,12
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.9622,12
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.9624,12
"(5, 6, 3, 1, 0, 4, 9, 7, 8, 2)",0.9652,13
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.9648,13
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.9645,13
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.9643,13
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.9658,13
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.9657,13
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.9645,13
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.9643,13
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.9645,13
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.9649,13
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.966,13
"(8, 9, 4, 3, 0, 5, 2, 7, 6, 1)",0.9668,14
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.966,14
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.9663,14
