0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
AL,AJ,AO,AH,AK,AN,AE,AI,AD,AM,AF,AG,AC,AB,AA
AL,AJ,AO,AH,AK,AN,AE,AI,AD,AM,AF,AG,AC,AB,AA
AL,AJ,AO,AH,AK,AN,AE,AI,AD,AM,AF,AG,AC,AB,AA
AL,AJ,AO,AH,AK,AN,AE,AI,AD,AM,AF,AG,AC,AB,AA
AL,AJ,AO,AH,AK,AN,AE,AI,AD,AM,AF,AG,AC,AB,AA
AL,AJ,AO,AH,AK,AN,AE,AI,AD,AM,AF,AG,AC,AB,AA
AL,AJ,AO,AH,AK,AN,AE,AI,AD,AM,AF,AG,AC,AB,AA
AL,AJ,AO,AH,AK,AN,AE,AI,AD,AM,AF,AG,AC,AB,AA
AL,AJ,AO,AH,AK,AN,AE,AI,AD,AM,AF,AG,AC,AB,AA
AL,AJ,AO,AH,AK,AN,AE,AI,AD,AM,AF,AG,AC,AB,AA
AL,AJ,AO,AH,AK,AN,AE,AI,AD,AM,AF,AG,AC,AB,AA
AL,AJ,AO,AH,AK,AN,AE,AI,AD,AM,AF,AG,AC,AB,AA
AL,AJ,AO,AH,AK,AN,AE,AI,AD,AM,AF,AG,AC,AB,AA
AL,AJ,AO,AH,AK,AN,AE,AI,AD,AM,AF,AG,AC,AB,AA
AL,AJ,AO,AH,AK,AN,AE,AI,AD,AM,AF,AG,AC,AB,AA
AL,AJ,AO,AH,AK,AN,AE,AI,AD,AM,AF,AG,AC,AB,AA
AL,AJ,AO,AH,AK,AN,AE,AI,AD,AM,AF,AG,AC,AB,AA
AL,AJ,AO,AH,AK,AN,AE,AI,AD,AM,AF,AG,AC,AB,AA
AL,AJ,AO,AH,AK,AN,AE,AI,AD,AM,AF,AG,AC,AB,AA
AL,AJ,AO,AH,AK,AN,AE,AI,AD,AM,AF,AG,AC,AB,AA
AL,AJ,AO,AH,AK,AN,AE,AI,AD,AM,AF,AG,AC,AB,AA
AL,AJ,AO,AH,AK,AN,AE,AI,AD,AM,AF,AG,AC,AB,AA
AL,AJ,AO,AH,AK,AN,AE,AI,AD,AM,AF,AG,AC,AB,AA
AL,AJ,AO,AH,AK,AN,AE,AI,AD,AM,AF,AG,AC,AB,AA
AL,AJ,AO,AH,AK,AN,AE,AI,AD,AM,AF,AG,AC,AB,AA
AL,AJ,AO,AH,AK,AN,AE,AI,AD,AM,AF,AG,AC,AB,AA
AL,AJ,AO,AH,AK,AN,AE,AI,AD,AM,AF,AG,AC,AB,AA
AL,AJ,AO,AH,AK,AN,AE,AI,AD,AM,AF,AG,AC,AB,AA
AL,AJ,AO,AH,AK,AN,AE,AI,AD,AM,AF,AG,AC,AB,AA
AL,AJ,AO,AH,AK,AN,AE,AI,AD,AM,AF,AG,AC,AB,AA
AL,AJ,AO,AH,AK,AN,AE,AI,AD,AM,AF,AG,AC,AB,AA
AL,AJ,AO,AH,AK,AN,AE,AI,AD,AM,AF,AG,AC,AB,AA
AL,AJ,AO,AH,AK,AN,AE,AI,AD,AM,AF,AG,AC,AB,AA
AL,AJ,AO,AH,AK,AN,AE,AI,AD,AM,AF,AG,AC,AB,AA
AL,AJ,AO,AH,AK,AN,AE,AI,AD,AM,AF,AG,AC,AB,AA
AL,AJ,AO,AH,AK,AN,AE,AI,AD,AM,AF,AG,AC,AB,AA
AL,AJ,AO,AH,AK,AN,AE,AI,AD,AM,AF,AG,AC,AB,AA
AL,AJ,AO,AH,AK,AN,AE,AI,AD,AM,AF,AG,AC,AB,AA
AL,AJ,AO,AH,AK,AN,AE,AI,AD,AM,AF,AG,AC,AB,AA
AL,AJ,AO,AH,AK,AN,AE,AI,AD,AM,AF,AG,AC,AB,AA
