coalition,value,iteration
"(1, 3, 8, 9, 2, 0, 7, 5, 4, 6)",0.9484,8
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.9497,8
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.9435,8
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.9433,8
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.9471,8
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.9524,8
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.9486,8
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.9463,8
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.9483,8
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.9474,8
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.9457,8
"(5, 3, 2, 4, 6, 8, 7, 0, 9, 1)",0.9511,9
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.9516,9
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.9478,9
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.9554,9
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.9502,9
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.9488,9
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.9464,9
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.9499,9
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.9512,9
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.9519,9
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.9523,9
"(0, 9, 7, 6, 2, 8, 3, 4, 5, 1)",0.954,10
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.9538,10
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.9554,10
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.953,10
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.9526,10
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.9587,10
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.9512,10
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.9505,10
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.9537,10
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.9543,10
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.9553,10
"(9, 1, 4, 0, 5, 2, 8, 7, 3, 6)",0.9556,11
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.9562,11
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.9568,11
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.9545,11
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.9559,11
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.9564,11
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.9593,11
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.9535,11
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.9545,11
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.9524,11
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.9541,11
"(8, 7, 6, 1, 0, 5, 4, 2, 9, 3)",0.959,12
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.955,12
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.958,12
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.9571,12
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.9599,12
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.9591,12
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.959,12
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.9573,12
