Iteration,Memory Allocated,Memory Cached
52,1.9173,2.125
53,1.9173,2.125
54,1.9173,2.125
55,1.9173,2.125
56,1.9173,2.125
57,1.9173,2.125
58,1.9173,2.125
59,1.9173,2.125
60,1.9173,2.125
61,1.9173,2.125
62,1.9173,2.125
63,1.9173,2.125
64,1.9173,2.125
65,1.9173,2.125
66,1.9173,2.125
67,1.9173,2.125
68,1.9173,2.125
69,1.9173,2.125
70,1.9173,2.125
71,1.9173,2.125
72,1.9173,2.125
73,1.9173,2.125
74,1.9173,2.125
75,1.9173,2.125
76,1.9173,2.125
77,1.9173,2.125
78,1.9173,2.125
79,1.9173,2.125
Iteration,Memory Allocated,Memory Cached
0,0.9713,1.0684
1,0.9713,1.0684
2,0.9713,1.0684
3,0.9713,1.0684
4,0.9713,1.0684
5,0.9713,1.0684
6,0.9713,1.0684
7,0.9713,1.0684
8,0.9713,1.0684
9,0.9713,1.0684
10,0.9713,1.0684
11,0.9713,1.0684
12,0.9713,1.0684
13,0.9713,1.0684
14,0.9713,1.0684
15,0.9713,1.0684
16,0.9713,1.0684
17,0.9713,1.0684
18,0.9713,1.0684
19,0.9713,1.0684
20,0.9713,1.0684
21,0.9713,1.0684
22,0.9713,1.0684
23,0.9713,1.0684
24,0.9713,1.0684
25,0.9713,1.0684
26,0.9713,1.0684
27,0.9713,1.0684
28,0.9713,1.0684
29,0.9713,1.0684
30,0.9713,1.0684
31,0.9713,1.0684
32,0.9713,1.0684
33,0.9713,1.0684
34,0.9713,1.0684
35,0.9713,1.0684
36,0.9713,1.0684
37,0.9713,1.0684
38,0.9713,1.0684
39,0.9713,1.0684
40,0.9713,1.0684
41,0.9713,1.0684
42,0.9713,1.0684
43,0.9713,1.0684
44,0.9713,1.0684
45,0.9713,1.0684
46,0.9713,1.0684
47,0.9713,1.0684
48,0.9713,1.0684
49,0.9713,1.0684
50,0.9713,1.0684
51,0.9713,1.0684
52,0.9713,1.0684
53,0.9713,1.0684
54,0.9713,1.0684
55,0.9713,1.0684
56,0.9713,1.0684
57,0.9713,1.0684
58,0.9713,1.0684
59,0.9713,1.0684
60,0.9713,1.0684
61,0.9713,1.0684
62,0.9713,1.0684
63,0.9713,1.0684
64,0.9713,1.0684
65,0.9713,1.0684
66,0.9713,1.0684
67,0.9713,1.0684
68,0.9713,1.0684
69,0.9713,1.0684
70,0.9713,1.0684
71,0.9713,1.0684
72,0.9713,1.0684
73,0.9713,1.0684
74,0.9713,1.0684
75,0.9713,1.0684
76,0.9713,1.0684
77,0.9713,1.0684
78,0.9713,1.0684
79,0.9713,1.0684
Iteration,Memory Allocated,Memory Cached
0,0.9713,1.0684
1,0.9713,1.0684
2,0.9713,1.0684
3,0.9713,1.0684
4,0.9713,1.0684
5,0.9713,1.0684
6,0.9713,1.0684
7,0.9713,1.0684
8,0.9713,1.0684
9,0.9713,1.0684
10,0.9713,1.0684
11,0.9713,1.0684
12,0.9713,1.0684
13,0.9713,1.0684
14,0.9713,1.0684
15,0.9713,1.0684
16,0.9713,1.0684
17,0.9713,1.0684
18,0.9713,1.0684
19,0.9713,1.0684
20,0.9713,1.0684
21,0.9713,1.0684
22,0.9713,1.0684
23,0.9713,1.0684
24,0.9713,1.0684
25,0.9713,1.0684
26,0.9713,1.0684
27,0.9713,1.0684
28,0.9713,1.0684
29,0.9713,1.0684
30,0.9713,1.0684
31,0.9713,1.0684
32,0.9713,1.0684
33,0.9713,1.0684
34,0.9713,1.0684
35,0.9713,1.0684
36,0.9713,1.0684
37,0.9713,1.0684
38,0.9713,1.0684
39,0.9713,1.0684
40,0.9713,1.0684
41,0.9713,1.0684
42,0.9713,1.0684
43,0.9713,1.0684
44,0.9713,1.0684
45,0.9713,1.0684
46,0.9713,1.0684
47,0.9713,1.0684
48,0.9713,1.0684
49,0.9713,1.0684
50,0.9713,1.0684
51,0.9713,1.0684
52,0.9713,1.0684
53,0.9713,1.0684
54,0.9713,1.0684
55,0.9713,1.0684
56,0.9713,1.0684
57,0.9713,1.0684
58,0.9713,1.0684
59,0.9713,1.0684
60,0.9713,1.0684
61,0.9713,1.0684
62,0.9713,1.0684
63,0.9713,1.0684
64,0.9713,1.0684
65,0.9713,1.0684
66,0.9713,1.0684
67,0.9713,1.0684
68,0.9713,1.0684
69,0.9713,1.0684
70,0.9713,1.0684
71,0.9713,1.0684
72,0.9713,1.0684
73,0.9713,1.0684
74,0.9713,1.0684
75,0.9713,1.0684
76,0.9713,1.0684
77,0.9713,1.0684
78,0.9713,1.0684
79,0.9713,1.0684
Iteration,Memory Allocated,Memory Cached
0,1.1471,1.1621
1,1.1471,1.1621
2,1.1471,1.1621
3,1.1471,1.1621
4,1.1471,1.1621
5,1.1471,1.1621
6,1.1471,1.1621
7,1.1471,1.1621
8,1.1471,1.1621
9,1.1471,1.1621
10,1.1471,1.1621
11,1.1471,1.1621
12,1.1471,1.1621
13,1.1471,1.1621
14,1.1471,1.1621
15,1.1471,1.1621
16,1.1471,1.1621
17,1.1471,1.1621
18,1.1471,1.1621
19,1.1471,1.1621
20,1.1471,1.1621
21,1.1471,1.1621
22,1.1471,1.1621
23,1.1471,1.1621
24,1.1471,1.1621
25,1.1471,1.1621
26,1.1471,1.1621
27,1.1471,1.1621
28,1.1471,1.1621
29,1.1471,1.1621
30,1.1471,1.1621
31,1.1471,1.1621
32,1.1471,1.1621
33,1.1471,1.1621
34,1.1471,1.1621
35,1.1471,1.1621
36,1.1471,1.1621
37,1.1471,1.1621
38,1.1471,1.1621
39,1.1471,1.1621
40,1.1471,1.1621
41,1.1471,1.1621
42,1.1471,1.1621
43,1.1471,1.1621
44,1.1471,1.1621
45,1.1471,1.1621
46,1.1471,1.1621
47,1.1471,1.1621
48,1.1471,1.1621
49,1.1471,1.1621
50,1.1471,1.1621
51,1.1471,1.1621
52,1.1471,1.1621
53,1.1471,1.1621
54,1.1471,1.1621
55,1.1471,1.1621
56,1.1471,1.1621
57,1.1471,1.1621
58,1.1471,1.1621
59,1.1471,1.1621
60,1.1471,1.1621
61,1.1471,1.1621
62,1.1471,1.1621
63,1.1471,1.1621
64,1.1471,1.1621
65,1.1471,1.1621
66,1.1471,1.1621
67,1.1471,1.1621
68,1.1471,1.1621
69,1.1471,1.1621
70,1.1471,1.1621
71,1.1471,1.1621
72,1.1471,1.1621
73,1.1471,1.1621
74,1.1471,1.1621
75,1.1471,1.1621
76,1.1471,1.1621
77,1.1471,1.1621
78,1.1471,1.1621
79,1.1471,1.1621
Iteration,Memory Allocated,Memory Cached
0,1.1471,1.1621
1,1.1471,1.1621
2,1.1471,1.1621
3,1.1471,1.1621
4,1.1471,1.1621
5,1.1471,1.1621
6,1.1471,1.1621
7,1.1471,1.1621
8,1.1471,1.1621
9,1.1471,1.1621
10,1.1471,1.1621
11,1.1471,1.1621
12,1.1471,1.1621
13,1.1471,1.1621
14,1.1471,1.1621
15,1.1471,1.1621
16,1.1471,1.1621
17,1.1471,1.1621
18,1.1471,1.1621
19,1.1471,1.1621
20,1.1471,1.1621
21,1.1471,1.1621
22,1.1471,1.1621
23,1.1471,1.1621
24,1.1471,1.1621
25,1.1471,1.1621
26,1.1471,1.1621
27,1.1471,1.1621
28,1.1471,1.1621
29,1.1471,1.1621
30,1.1471,1.1621
31,1.1471,1.1621
32,1.1471,1.1621
33,1.1471,1.1621
34,1.1471,1.1621
35,1.1471,1.1621
36,1.1471,1.1621
37,1.1471,1.1621
38,1.1471,1.1621
39,1.1471,1.1621
40,1.1471,1.1621
41,1.1471,1.1621
42,1.1471,1.1621
43,1.1471,1.1621
44,1.1471,1.1621
45,1.1471,1.1621
46,1.1471,1.1621
47,1.1471,1.1621
48,1.1471,1.1621
49,1.1471,1.1621
50,1.1471,1.1621
51,1.1471,1.1621
52,1.1471,1.1621
53,1.1471,1.1621
54,1.1471,1.1621
55,1.1471,1.1621
56,1.1471,1.1621
57,1.1471,1.1621
58,1.1471,1.1621
59,1.1471,1.1621
60,1.1471,1.1621
61,1.1471,1.1621
62,1.1471,1.1621
63,1.1471,1.1621
64,1.1471,1.1621
65,1.1471,1.1621
66,1.1471,1.1621
67,1.1471,1.1621
68,1.1471,1.1621
69,1.1471,1.1621
70,1.1471,1.1621
71,1.1471,1.1621
72,1.1471,1.1621
73,1.1471,1.1621
74,1.1471,1.1621
75,1.1471,1.1621
76,1.1471,1.1621
77,1.1471,1.1621
78,1.1471,1.1621
79,1.1471,1.1621
