cluster,ins_mean,ins_median,ins_var,ins_std,ins_p05,ins_p25,ins_p50,ins_p75,ins_p95,del_mean,del_median,del_var,del_std,del_p05,del_p25,del_p50,del_p75,del_p95
AC,0.9517225962689323,0.9541836798724995,0.00042015992987444966,0.020497803049947808,0.9209459514848084,0.9425128161414552,0.9541836798724995,0.9622148144951425,0.9792193626126948,0.34644336200826714,0.34951539493856004,0.00016515631232326853,0.01285131558725676,0.3245816312405201,0.3407605091158704,0.34951539493856004,0.3542385202332723,0.3612769885243771
AB,0.9719325222423574,0.971405780205383,0.0001499048838596416,0.012243564997975125,0.9517288272120759,0.9693643520097861,0.971405780205383,0.9817331702429514,0.9855496744660306,0.32852096195007374,0.32634332966524776,0.00024115910709386035,0.015529298345188052,0.30661115817094137,0.3202053636726525,0.32634332966524776,0.3381002518714402,0.3530034114527086
AA,0.9465247049764762,0.9503580994401192,0.0005863556586115104,0.024214781820439978,0.9041483003920692,0.9376911439295232,0.9503580994401192,0.9608324635742755,0.9768256256428116,0.28986233778296683,0.28143288216078155,0.00030459565857467847,0.017452669096005874,0.26981058824202586,0.2773795118118265,0.28143288216078155,0.3027505939644022,0.31856806339994387
