cluster,ins_mean,ins_median,ins_var,ins_std,ins_p05,ins_p25,ins_p50,ins_p75,ins_p95,del_mean,del_median,del_var,del_std,del_p05,del_p25,del_p50,del_p75,del_p95
AC,0.623833484298321,0.6226170076785242,0.0043126352392643145,0.06567065736890651,0.5153514962921393,0.5971588082829686,0.6226170076785242,0.6684018837184011,0.7001799554571473,0.41816920570292115,0.41994398683101547,0.001957463986268089,0.04424323661609861,0.3499186341341246,0.3924530023103044,0.41994398683101547,0.45918997732041805,0.47378612320619984
AA,0.504020207749211,0.5210925075608952,0.005718422352354916,0.0756202509408354,0.4039719250041055,0.4243564930244015,0.5210925075608952,0.5519705773041592,0.6124066079209314,0.4077452250880565,0.40653977437149535,0.0015537022544971255,0.03941703000604086,0.3556344524632202,0.3780259823872425,0.40653977437149535,0.43342399958565936,0.4685511762331571
AB,0.697175525013912,0.6984364168126247,0.003419229189099936,0.058474175403334556,0.5986516278658681,0.6824889455844494,0.6984364168126247,0.7198032968818853,0.783311326811124,0.32954637017677246,0.33825283773131976,0.0026759786359731165,0.05172986212984833,0.2511159264189424,0.300035996456281,0.33825283773131976,0.3658157313575653,0.4001738456537255
