coalition,value,iteration
"(3, 9, 0, 8, 4, 2, 1, 6, 7, 5)",0.1,0
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.1,0
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.1,0
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.1,0
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.1,0
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.1,0
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.1,0
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.1,0
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.1,0
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.1,0
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.1,0
"(1, 5, 0, 9, 7, 3, 8, 6, 2, 4)",0.1047,1
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.1002,1
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.1207,1
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.1039,1
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.1009,1
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.1043,1
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.1,1
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.1266,1
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.1147,1
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.1,1
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.113,1
"(0, 1, 9, 7, 2, 6, 3, 4, 5, 8)",0.1004,2
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.1011,2
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.1001,2
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.1003,2
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.1004,2
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.1004,2
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.1005,2
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.1005,2
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.1005,2
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.1001,2
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.1003,2
"(8, 6, 5, 9, 2, 0, 7, 4, 1, 3)",0.1209,3
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.1093,3
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.1221,3
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.1095,3
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.1155,3
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.1164,3
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.1349,3
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.1166,3
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.139,3
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.1335,3
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.1266,3
"(5, 1, 9, 7, 0, 4, 6, 3, 2, 8)",0.1644,4
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.1613,4
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.1633,4
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.1578,4
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.1701,4
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.1692,4
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.1616,4
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.1664,4
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.1659,4
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.1711,4
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.1611,4
"(7, 4, 6, 9, 3, 8, 0, 2, 1, 5)",0.2227,5
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.2181,5
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.2258,5
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.2188,5
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.2209,5
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.2143,5
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.2199,5
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.2524,5
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.2261,5
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.2218,5
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.2073,5
"(1, 4, 2, 3, 9, 6, 7, 0, 5, 8)",0.3044,6
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.3129,6
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.3045,6
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.2941,6
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.2921,6
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.2976,6
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.2887,6
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.3137,6
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.3492,6
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.3014,6
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.2986,6
"(8, 2, 3, 1, 6, 0, 9, 5, 7, 4)",0.3787,7
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.3659,7
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.3646,7
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.3823,7
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.3766,7
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.3808,7
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.4187,7
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.377,7
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.3652,7
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.3649,7
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.3748,7
"(1, 3, 8, 9, 2, 0, 7, 5, 4, 6)",0.4734,8
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.4797,8
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.4634,8
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.4705,8
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.473,8
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.4721,8
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.5035,8
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.4656,8
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.4679,8
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.4621,8
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.4621,8
"(5, 3, 2, 4, 6, 8, 7, 0, 9, 1)",0.5049,9
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.4917,9
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.5017,9
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.5046,9
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.4984,9
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.4972,9
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.4939,9
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.4941,9
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.5305,9
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.5026,9
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.5159,9
"(0, 9, 7, 6, 2, 8, 3, 4, 5, 1)",0.5454,10
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.5717,10
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.5324,10
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.5373,10
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.5402,10
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.5363,10
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.54,10
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.5311,10
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.5379,10
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.5397,10
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.5517,10
"(9, 1, 4, 0, 5, 2, 8, 7, 3, 6)",0.5687,11
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.5636,11
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.573,11
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.5672,11
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.5872,11
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.5704,11
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.5749,11
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.562,11
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.5658,11
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.5518,11
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.5645,11
"(8, 7, 6, 1, 0, 5, 4, 2, 9, 3)",0.5945,12
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.589,12
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.5866,12
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.5891,12
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.5991,12
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.6245,12
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.5877,12
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.5902,12
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.5948,12
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.5854,12
