coalition,value,iteration
"(1, 3, 8, 9, 2, 0, 7, 5, 4, 6)",0.4196,8
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.4119,8
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.4257,8
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.4061,8
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.4126,8
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.4099,8
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.4456,8
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.4117,8
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.4071,8
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.4307,8
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.4081,8
"(5, 3, 2, 4, 6, 8, 7, 0, 9, 1)",0.4458,9
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.4296,9
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.4461,9
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.4261,9
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.4477,9
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.4423,9
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.4341,9
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.4453,9
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.4747,9
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.4522,9
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.4512,9
"(0, 9, 7, 6, 2, 8, 3, 4, 5, 1)",0.4851,10
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.511,10
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.4851,10
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.4877,10
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.4764,10
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.4676,10
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.4756,10
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.4912,10
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.4986,10
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.4676,10
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.4806,10
"(9, 1, 4, 0, 5, 2, 8, 7, 3, 6)",0.516,11
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.5103,11
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.5298,11
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.5138,11
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.5347,11
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.4957,11
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.5003,11
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.5047,11
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.5048,11
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.5124,11
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.5149,11
"(8, 7, 6, 1, 0, 5, 4, 2, 9, 3)",0.5519,12
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.5478,12
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.5461,12
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.551,12
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.5678,12
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.5645,12
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.544,12
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.5604,12
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.5479,12
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.5461,12
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.543,12
"(5, 6, 3, 1, 0, 4, 9, 7, 8, 2)",0.5551,13
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.5325,13
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.5471,13
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.5461,13
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.5674,13
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.588,13
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.5564,13
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.5469,13
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.5444,13
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.5494,13
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.5549,13
"(8, 9, 4, 3, 0, 5, 2, 7, 6, 1)",0.5938,14
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.5956,14
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.5828,14
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.5928,14
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.5876,14
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.6049,14
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.5801,14
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.5955,14
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.5853,14
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.5958,14
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.6089,14
"(6, 7, 9, 8, 2, 4, 5, 0, 1, 3)",0.5968,15
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.5911,15
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.5911,15
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.5835,15
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.589,15
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.5925,15
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.5804,15
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.5805,15
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.6211,15
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.6181,15
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.5861,15
"(2, 6, 8, 7, 0, 3, 1, 9, 5, 4)",0.5885,16
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.5904,16
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.5876,16
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.591,16
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.578,16
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.6141,16
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.577,16
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.6038,16
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.5758,16
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.5625,16
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.5701,16
"(2, 6, 3, 8, 7, 1, 0, 4, 5, 9)",0.6204,17
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.6241,17
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.6194,17
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.6058,17
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.6118,17
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.6116,17
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.6332,17
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.6508,17
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.6141,17
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.6063,17
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.6101,17
"(2, 8, 3, 7, 0, 9, 6, 1, 4, 5)",0.6174,18
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.6093,18
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.6099,18
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.6018,18
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.619,18
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.6536,18
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.6073,18
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.6164,18
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.6314,18
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.6231,18
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.5945,18
"(0, 5, 9, 1, 6, 8, 4, 2, 7, 3)",0.6364,19
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.6637,19
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.6105,19
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.6224,19
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.6579,19
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.6313,19
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.6385,19
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.6275,19
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.6394,19
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.6306,19
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.6261,19
"(5, 2, 0, 9, 6, 3, 4, 1, 7, 8)",0.6558,20
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.6385,20
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.6622,20
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.6722,20
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.6378,20
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.6531,20
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.6464,20
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.6479,20
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.667,20
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.647,20
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.6513,20
"(1, 6, 9, 3, 2, 8, 0, 5, 4, 7)",0.667,21
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.6787,21
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.6573,21
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.6563,21
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.6539,21
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.6682,21
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.6567,21
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.684,21
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.6506,21
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.6631,21
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.657,21
"(9, 7, 2, 6, 0, 5, 1, 3, 8, 4)",0.6729,22
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.6644,22
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.6624,22
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.671,22
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.6652,22
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.6868,22
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.6618,22
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.683,22
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.6558,22
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.6616,22
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.6635,22
"(1, 4, 5, 0, 3, 6, 9, 8, 7, 2)",0.6783,23
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.69,23
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.674,23
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.6657,23
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.6891,23
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.6701,23
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.6729,23
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.6705,23
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.6744,23
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.6721,23
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.6794,23
"(3, 8, 5, 2, 7, 9, 6, 1, 4, 0)",0.6748,24
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.663,24
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.674,24
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.6606,24
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.6774,24
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.6672,24
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.6669,24
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.6727,24
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.6832,24
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.6681,24
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.6886,24
"(3, 0, 7, 2, 4, 1, 6, 9, 8, 5)",0.6787,25
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.6688,25
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.6951,25
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.6719,25
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.6794,25
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.6731,25
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.6889,25
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.6687,25
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.6739,25
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.6706,25
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.6692,25
"(5, 1, 2, 9, 6, 3, 8, 0, 4, 7)",0.6808,26
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.6641,26
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.6928,26
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.6817,26
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.6665,26
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.6741,26
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.6676,26
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.6763,26
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.6974,26
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.6716,26
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.6697,26
"(8, 9, 6, 3, 7, 2, 5, 1, 4, 0)",0.6861,27
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.6818,27
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.6803,27
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.6763,27
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.6724,27
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.6787,27
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.683,27
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.6712,27
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.6931,27
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.6756,27
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.6999,27
"(2, 9, 0, 6, 8, 3, 1, 5, 4, 7)",0.6817,28
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.6853,28
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.6747,28
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.6954,28
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.6783,28
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.6757,28
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.6695,28
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.6898,28
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.6742,28
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.6784,28
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.6791,28
"(5, 3, 9, 1, 4, 2, 7, 8, 0, 6)",0.6862,29
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.6801,29
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.6756,29
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.6846,29
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.6924,29
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.6828,29
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.6884,29
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.6815,29
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.6781,29
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.6997,29
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.6765,29
"(3, 7, 0, 5, 6, 4, 8, 2, 9, 1)",0.6836,30
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.6727,30
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.6785,30
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.6937,30
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.6722,30
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.6773,30
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.6751,30
