coalition,value,iteration
"(5, 3, 8, 0, 7, 9, 6, 1, 4, '1_of_2', '2_of_2', '3_of_2', '4_of_2', '5_of_2')",0.6525,4
"(5, 3, 2, 0, 7, 9, 6, 1, 4, '1_of_8', '2_of_8', '3_of_8', '4_of_8', '5_of_8')",0.7712,4
"(5, 3, 2, 8, 7, 9, 6, 1, 4, '1_of_0', '2_of_0', '3_of_0', '4_of_0', '5_of_0')",0.6481,4
"(5, 3, 2, 8, 0, 9, 6, 1, 4, '1_of_7', '2_of_7', '3_of_7', '4_of_7', '5_of_7')",0.7259,4
"(5, 3, 2, 8, 0, 7, 6, 1, 4, '1_of_9', '2_of_9', '3_of_9', '4_of_9', '5_of_9')",0.7681,4
"(5, 3, 2, 8, 0, 7, 9, 1, 4, '1_of_6', '2_of_6', '3_of_6', '4_of_6', '5_of_6')",0.7715,4
"(5, 3, 2, 8, 0, 7, 9, 6, 4, '1_of_1', '2_of_1', '3_of_1', '4_of_1', '5_of_1')",0.7129,4
"(5, 3, 2, 8, 0, 7, 9, 6, 1, '1_of_4', '2_of_4', '3_of_4', '4_of_4', '5_of_4')",0.7309,4
"(6, 8, 2, 4, 3, 0, 5, 9, 7, 1)",0.7859,5
"(8, 2, 4, 3, 0, 5, 9, 7, 1, '1_of_6', '2_of_6', '3_of_6', '4_of_6', '5_of_6')",0.7989,5
"(6, 2, 4, 3, 0, 5, 9, 7, 1, '1_of_8', '2_of_8', '3_of_8', '4_of_8', '5_of_8')",0.8192,5
"(6, 8, 4, 3, 0, 5, 9, 7, 1, '1_of_2', '2_of_2', '3_of_2', '4_of_2', '5_of_2')",0.718,5
"(6, 8, 2, 3, 0, 5, 9, 7, 1, '1_of_4', '2_of_4', '3_of_4', '4_of_4', '5_of_4')",0.7433,5
"(6, 8, 2, 4, 0, 5, 9, 7, 1, '1_of_3', '2_of_3', '3_of_3', '4_of_3', '5_of_3')",0.8091,5
"(6, 8, 2, 4, 3, 5, 9, 7, 1, '1_of_0', '2_of_0', '3_of_0', '4_of_0', '5_of_0')",0.6004,5
"(6, 8, 2, 4, 3, 0, 9, 7, 1, '1_of_5', '2_of_5', '3_of_5', '4_of_5', '5_of_5')",0.7788,5
"(6, 8, 2, 4, 3, 0, 5, 7, 1, '1_of_9', '2_of_9', '3_of_9', '4_of_9', '5_of_9')",0.8002,5
