coalition,value,iteration
"(1, 3, 8, 9, 2, 0, 7, 5, 4, 6)",0.8518,8
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.8457,8
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.8455,8
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.8423,8
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.8399,8
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.8455,8
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.8513,8
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.8463,8
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.847,8
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.8428,8
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.8433,8
"(5, 3, 2, 4, 6, 8, 7, 0, 9, 1)",0.8491,9
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.8492,9
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.8451,9
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.8439,9
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.8365,9
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.8417,9
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.8431,9
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.85,9
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.8545,9
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.8393,9
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.8327,9
"(0, 9, 7, 6, 2, 8, 3, 4, 5, 1)",0.8554,10
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.8616,10
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.8422,10
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.8509,10
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.8498,10
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.8518,10
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.8512,10
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.8519,10
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.8465,10
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.8539,10
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.85,10
"(9, 1, 4, 0, 5, 2, 8, 7, 3, 6)",0.8567,11
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.8382,11
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.8559,11
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.8442,11
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.8615,11
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.8529,11
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.8607,11
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.855,11
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.85,11
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.8493,11
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.8529,11
"(8, 7, 6, 1, 0, 5, 4, 2, 9, 3)",0.8604,12
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.8544,12
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.8542,12
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.8552,12
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.8652,12
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.8687,12
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.8564,12
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.8537,12
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.8669,12
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.8417,12
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.8536,12
"(5, 6, 3, 1, 0, 4, 9, 7, 8, 2)",0.8604,13
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.8573,13
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.8537,13
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.8544,13
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.8684,13
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.8627,13
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.8535,13
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.8466,13
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.8516,13
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.8575,13
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.8673,13
"(8, 9, 4, 3, 0, 5, 2, 7, 6, 1)",0.8607,14
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.8593,14
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.844,14
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.8525,14
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.851,14
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.8599,14
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.8549,14
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.8641,14
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.8539,14
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.8525,14
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.8668,14
"(6, 7, 9, 8, 2, 4, 5, 0, 1, 3)",0.8574,15
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.8518,15
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.8465,15
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.838,15
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.8536,15
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.8669,15
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.8484,15
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.8519,15
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.8615,15
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.8673,15
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.8423,15
"(2, 6, 8, 7, 0, 3, 1, 9, 5, 4)",0.8619,16
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.8599,16
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.8583,16
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.8609,16
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.8547,16
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.8645,16
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.8507,16
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.8649,16
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.8473,16
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.8572,16
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.853,16
"(2, 6, 3, 8, 7, 1, 0, 4, 5, 9)",0.8715,17
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.8733,17
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.8675,17
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.8642,17
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.8669,17
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.8654,17
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.8689,17
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.8741,17
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.8618,17
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.8663,17
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.8557,17
"(2, 8, 3, 7, 0, 9, 6, 1, 4, 5)",0.8589,18
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.8693,18
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.8562,18
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.8515,18
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.8535,18
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.8645,18
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.8441,18
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.8558,18
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.8715,18
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.8557,18
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.8521,18
"(0, 5, 9, 1, 6, 8, 4, 2, 7, 3)",0.855,19
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.8601,19
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.8492,19
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.8414,19
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.8705,19
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.8458,19
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.8497,19
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.8499,19
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.8621,19
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.8445,19
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.8422,19
"(5, 2, 0, 9, 6, 3, 4, 1, 7, 8)",0.8637,20
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.8604,20
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.8701,20
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.8686,20
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.8514,20
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.861,20
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.8595,20
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.8592,20
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.8693,20
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.857,20
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.863,20
"(1, 6, 9, 3, 2, 8, 0, 5, 4, 7)",0.8588,21
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.8704,21
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.8527,21
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.8502,21
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.8506,21
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.8674,21
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.8512,21
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.8619,21
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.852,21
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.8533,21
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.8514,21
"(9, 7, 2, 6, 0, 5, 1, 3, 8, 4)",0.8448,22
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.8297,22
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.838,22
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.8558,22
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.8388,22
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.8492,22
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.8406,22
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.8648,22
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.8257,22
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.8401,22
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.8372,22
"(1, 4, 5, 0, 3, 6, 9, 8, 7, 2)",0.8564,23
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.8683,23
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.8452,23
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.8548,23
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.8566,23
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.8478,23
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.8558,23
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.8439,23
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.854,23
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.8483,23
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.8694,23
"(3, 8, 5, 2, 7, 9, 6, 1, 4, 0)",0.858,24
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.8462,24
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.8516,24
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.8456,24
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.8719,24
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.8521,24
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.8466,24
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.8496,24
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.8783,24
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.8537,24
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.8605,24
"(3, 0, 7, 2, 4, 1, 6, 9, 8, 5)",0.8627,25
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.8553,25
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.8683,25
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.8553,25
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.8743,25
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.8587,25
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.877,25
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.858,25
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.8515,25
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.8569,25
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.8534,25
"(5, 1, 2, 9, 6, 3, 8, 0, 4, 7)",0.8751,26
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.8693,26
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.8767,26
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.8793,26
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.8659,26
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.8711,26
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.8669,26
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.8712,26
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.8751,26
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.8717,26
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.8708,26
"(8, 9, 6, 3, 7, 2, 5, 1, 4, 0)",0.8724,27
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.8672,27
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.8582,27
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.8671,27
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.8645,27
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.8658,27
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.881,27
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.8645,27
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.8796,27
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.8644,27
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.8752,27
"(2, 9, 0, 6, 8, 3, 1, 5, 4, 7)",0.8632,28
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.873,28
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.8515,28
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.8644,28
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.8569,28
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.8598,28
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.8513,28
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.8739,28
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.8569,28
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.8595,28
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.8569,28
"(5, 3, 9, 1, 4, 2, 7, 8, 0, 6)",0.8642,29
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.8573,29
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.8564,29
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.8528,29
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.873,29
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.8619,29
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.8723,29
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.852,29
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.8532,29
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.8677,29
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.8579,29
"(3, 7, 0, 5, 6, 4, 8, 2, 9, 1)",0.8565,30
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.8414,30
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.8494,30
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.8625,30
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.8595,30
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.85,30
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.851,30
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.8504,30
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.8738,30
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.8404,30
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.873,30
"(0, 4, 2, 9, 3, 6, 8, 7, 5, 1)",0.8675,31
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.8699,31
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.8675,31
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.8762,31
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.8566,31
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.8616,31
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.8627,31
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.8639,31
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.8608,31
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.8579,31
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.8735,31
"(5, 3, 1, 9, 0, 8, 7, 4, 6, 2)",0.8647,32
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.8535,32
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.8517,32
