coalition,value,iteration
"(1, 3, 8, 9, 2, 0, 7, 5, 4, 6)",0.9524,8
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.9538,8
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.9505,8
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.9514,8
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.9503,8
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.9534,8
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.9537,8
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.9509,8
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.9504,8
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.9509,8
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.9513,8
"(5, 3, 2, 4, 6, 8, 7, 0, 9, 1)",0.9561,9
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.9549,9
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.9553,9
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.9577,9
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.9549,9
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.9553,9
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.9551,9
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.9549,9
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.9568,9
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.9537,9
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.9572,9
"(0, 9, 7, 6, 2, 8, 3, 4, 5, 1)",0.9594,10
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.9601,10
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.9585,10
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.9593,10
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.9585,10
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.9605,10
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.9587,10
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.9596,10
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.959,10
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.9594,10
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.9604,10
"(9, 1, 4, 0, 5, 2, 8, 7, 3, 6)",0.9623,11
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.9611,11
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.9628,11
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.9613,11
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.9622,11
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.9623,11
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.9632,11
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.9614,11
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.9614,11
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.9623,11
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.9604,11
"(8, 7, 6, 1, 0, 5, 4, 2, 9, 3)",0.9638,12
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.9637,12
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.9631,12
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.9631,12
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.9642,12
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.9637,12
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.9636,12
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.9637,12
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.964,12
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.9628,12
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.964,12
"(5, 6, 3, 1, 0, 4, 9, 7, 8, 2)",0.9653,13
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.9654,13
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.9644,13
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.9651,13
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.9659,13
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.9656,13
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.9649,13
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.9648,13
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.9647,13
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.965,13
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.9659,13
"(8, 9, 4, 3, 0, 5, 2, 7, 6, 1)",0.9663,14
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.9664,14
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.9658,14
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.9658,14
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.9661,14
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.9669,14
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.9666,14
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.9671,14
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.9659,14
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.9658,14
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.967,14
"(6, 7, 9, 8, 2, 4, 5, 0, 1, 3)",0.9676,15
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.9667,15
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.967,15
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.9669,15
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.9673,15
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.9681,15
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.9676,15
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.9677,15
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.9682,15
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.9685,15
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.9674,15
"(2, 6, 8, 7, 0, 3, 1, 9, 5, 4)",0.968,16
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.9692,16
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.9674,16
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.968,16
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.9673,16
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.9683,16
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.9686,16
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.9693,16
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.9679,16
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.9686,16
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.9683,16
"(2, 6, 3, 8, 7, 1, 0, 4, 5, 9)",0.9691,17
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.9699,17
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.9681,17
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.9687,17
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.9689,17
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.9675,17
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.9698,17
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.9692,17
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.9694,17
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.9691,17
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.9692,17
"(2, 8, 3, 7, 0, 9, 6, 1, 4, 5)",0.9697,18
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.9707,18
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.9694,18
