coalition,value,iteration
"(1, 3, 8, 9, 2, 0, 7, 5, 4, 6)",0.9496,8
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.9513,8
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.9484,8
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.9486,8
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.9481,8
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.9521,8
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.9511,8
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.9488,8
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.9487,8
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.949,8
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.9486,8
"(5, 3, 2, 4, 6, 8, 7, 0, 9, 1)",0.9547,9
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.9535,9
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.9538,9
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.9576,9
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.9541,9
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.9541,9
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.9534,9
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.9535,9
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.9552,9
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.9538,9
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.9562,9
"(0, 9, 7, 6, 2, 8, 3, 4, 5, 1)",0.9583,10
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.9589,10
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.9569,10
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.9578,10
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.9576,10
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.9602,10
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.9577,10
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.9575,10
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.9574,10
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.9568,10
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.9598,10
"(9, 1, 4, 0, 5, 2, 8, 7, 3, 6)",0.961,11
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.9607,11
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.9626,11
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.9602,11
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.962,11
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.9598,11
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.9629,11
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.9617,11
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.9601,11
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.96,11
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.9601,11
